Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit
CA-2015-143364,14/07/2015,19/07/2015,Second Class,TG-21310,Toby Gnade,Consumer,United States,Mesa,Arizona,85204,West,Anna Andreadi,FUR-BO-10001608,Furniture,Bookcases,"Hon Metal Bookcases, Black",Not,127.76,6,0.7,-191.65
CA-2017-131954,21/01/2017,25/01/2017,Standard Class,DS-13030,Darrin Sayre,Home Office,United States,Seattle,Washington,98115,West,Anna Andreadi,FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,Not,84.98,1,0,18.7
CA-2016-123533,24/11/2016,30/11/2016,Standard Class,SC-20050,Sample Company A,Home Office,United States,Hialeah,Florida,33012,South,Cassandra Brandow,FUR-BO-10001619,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Bookcase,Not,339.92,5,0.2,8.5
CA-2016-152156,11/08/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Cassandra Brandow,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,Not,261.96,2,0,41.91
CA-2016-117681,04/09/2016,04/09/2016,Standard Class,HF-14995,Herbert Flentye,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,Not,556.67,5,0.15,6.55
CA-2017-159793,25/08/2017,29/08/2017,Standard Class,SV-20365,Seth Vernon,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,Not,130.98,2,0.5,-89.07
CA-2017-110198,05/01/2017,05/02/2017,First Class,AG-10900,Arthur Gainer,Consumer,United States,Coral Springs,Florida,33065,South,Cassandra Brandow,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,Not,314.35,3,0.2,-15.72
CA-2016-102981,09/06/2016,09/09/2016,Second Class,MO-17500,Mary O'Rourke,Consumer,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,722.35,3,0.2,90.29
US-2017-132059,23/09/2017,29/09/2017,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Fort Collins,Colorado,80525,West,Anna Andreadi,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,180.59,2,0.7,-240.78
CA-2016-147137,07/04/2016,07/06/2016,First Class,AA-10645,Anna Andreadi,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,1279.17,5,0.15,225.74
CA-2017-115105,02/06/2017,02/11/2017,Standard Class,BD-11770,Bryan Davis,Consumer,United States,New York City,New York,10024,East,Chuck Magee,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,240.78,1,0.2,30.1
CA-2015-133585,03/01/2015,03/04/2015,First Class,CM-12715,Craig Molinari,Corporate,United States,Houston,Texas,77070,Central,Kelly Williams,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,1228,6,0.32,-36.12
CA-2017-142461,30/05/2017,30/05/2017,Second Class,KT-16480,Kean Thornton,Consumer,United States,Dallas,Texas,75217,Central,Kelly Williams,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,204.67,1,0.32,-6.02
CA-2015-130183,13/11/2015,17/11/2015,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,614,3,0.32,-18.06
CA-2017-144491,27/03/2017,27/03/2017,Standard Class,CJ-12010,Caroline Jumper,Consumer,United States,Houston,Texas,77070,Central,Kelly Williams,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Not,1023.33,5,0.32,-30.1
US-2017-121251,26/03/2017,27/03/2017,First Class,GM-14440,Gary McGarr,Consumer,United States,New York City,New York,10009,East,Chuck Magee,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Not,257.57,2,0.2,-28.98
CA-2016-123337,16/09/2016,22/09/2016,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,San Jose,California,95123,West,Anna Andreadi,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Not,273.67,2,0.15,-12.88
CA-2015-162950,28/06/2015,28/06/2015,Second Class,DW-13585,Dorothy Wardle,Corporate,United States,Troy,Ohio,45373,East,Chuck Magee,FUR-BO-10001918,Furniture,Bookcases,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",Not,482.94,6,0.5,-376.69
CA-2017-117457,12/08/2017,12/12/2017,Standard Class,KH-16510,Keith Herrera,Consumer,United States,San Francisco,California,94110,West,Anna Andreadi,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,1336.83,13,0.15,31.45
CA-2017-167381,22/09/2017,24/09/2017,Second Class,EH-14005,Erica Hernandez,Home Office,United States,Lansing,Michigan,48911,Central,Kelly Williams,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,241.96,2,0,41.13
CA-2014-146591,19/01/2014,20/01/2014,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,Anna Andreadi,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,181.47,5,0.7,-320.6
CA-2017-141117,10/02/2017,10/08/2017,Standard Class,JK-16090,Juliana Krohn,Consumer,United States,Springfield,Oregon,97477,West,Anna Andreadi,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,217.76,6,0.7,-384.72
CA-2017-143378,19/09/2017,25/09/2017,Standard Class,JR-16210,Justin Ritter,Corporate,United States,Springfield,Oregon,97477,West,Anna Andreadi,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,72.59,2,0.7,-128.24
US-2014-127978,03/03/2014,03/08/2014,Standard Class,JS-15595,Jill Stevenson,Corporate,United States,Columbus,Ohio,43229,East,Chuck Magee,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,302.45,5,0.5,-199.62
US-2017-132031,23/04/2017,27/04/2017,Standard Class,PN-18775,Parhena Norris,Home Office,United States,Clarksville,Tennessee,37042,South,Cassandra Brandow,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Not,387.14,4,0.2,-14.52
CA-2016-106383,19/03/2016,21/03/2016,Second Class,BT-11440,Bobby Trafton,Consumer,United States,Littleton,Colorado,80122,West,Anna Andreadi,FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Not,72.29,1,0.7,-98.8
CA-2017-124674,17/11/2017,23/11/2017,Standard Class,JB-16000,Joy Bell-,Consumer,United States,Brownsville,Texas,78521,Central,Kelly Williams,FUR-BO-10002202,Furniture,Bookcases,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Not,327.73,2,0.32,-14.46
US-2016-135923,22/01/2016,28/01/2016,Standard Class,CM-11935,Carlos Meador,Consumer,United States,Fayetteville,North Carolina,28314,South,Cassandra Brandow,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",Not,451.14,4,0.2,-67.67
CA-2015-148635,25/07/2015,27/07/2015,Second Class,MH-18025,Michelle Huthwaite,Consumer,United States,Seattle,Washington,98115,West,Anna Andreadi,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",Not,704.9,5,0,56.39
US-2017-133312,25/11/2017,29/11/2017,Standard Class,BD-11500,Bradley Drucker,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",Not,359.5,3,0.15,-29.61
US-2015-145422,12/03/2015,12/07/2015,Standard Class,PW-19240,Pierre Wener,Consumer,United States,San Francisco,California,94110,West,Anna Andreadi,FUR-BO-10002213,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",Not,359.5,3,0.15,-29.61
CA-2016-138520,04/08/2016,04/08/2016,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,Not,388.7,6,0.2,-4.86
CA-2017-135692,27/04/2017,27/04/2017,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,Fort Worth,Texas,76106,Central,Kelly Williams,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,Yes,220.27,4,0.32,-42.11
US-2015-165743,20/11/2015,23/11/2015,Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,80013,West,Anna Andreadi,FUR-BO-10002268,Furniture,Bookcases,Sauder Barrister Bookcases,Not,145.76,6,0.7,-247.8
CA-2015-117415,27/12/2015,31/12/2015,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,532.4,3,0.32,-46.98
CA-2015-102281,10/12/2015,10/12/2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,626.35,3,0.2,46.98
CA-2016-155516,21/10/2016,21/10/2016,Same Day,MK-17905,Michael Kennedy,Corporate,United States,Manchester,Connecticut,6040,East,Chuck Magee,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,1043.92,4,0,271.42
CA-2017-121888,15/09/2017,17/09/2017,Second Class,CL-11890,Carl Ludwig,Consumer,United States,Everett,Massachusetts,2149,East,Chuck Magee,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,782.94,3,0,203.56
CA-2015-111514,31/08/2015,31/08/2015,First Class,SC-20260,Scott Cohen,Corporate,United States,San Francisco,California,94122,West,Anna Andreadi,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,1552.83,7,0.15,200.95
US-2015-122784,20/07/2015,27/07/2015,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Highland Park,Illinois,60035,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,913.43,5,0.3,-52.2
CA-2014-155796,11/11/2014,15/11/2014,Second Class,TS-21430,Tom Stivers,Corporate,United States,Reading,Pennsylvania,19601,East,Chuck Magee,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,521.96,4,0.5,-250.54
US-2016-100461,01/08/2016,01/12/2016,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,Franklin,Wisconsin,53132,Central,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Not,1565.88,6,0,407.13
CA-2015-115511,21/11/2015,25/11/2015,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Las Vegas,Nevada,89115,West,Anna Andreadi,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Not,141.96,2,0,41.17
CA-2015-156482,02/06/2015,02/06/2015,Standard Class,IL-15100,Ivan Liston,Consumer,United States,Wilmington,Delaware,19805,East,Chuck Magee,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Not,283.92,4,0,82.34
CA-2017-143574,29/06/2017,29/06/2017,First Class,DR-12880,Dan Reichenbach,Corporate,United States,Milford,Connecticut,6460,East,Chuck Magee,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Not,638.82,9,0,185.26
CA-2016-113425,21/11/2016,21/11/2016,Same Day,JK-16120,Julie Kriz,Home Office,United States,New York City,New York,10009,East,Chuck Magee,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Not,113.57,2,0.2,12.78
CA-2017-166926,12/01/2017,12/08/2017,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Seattle,Washington,98105,West,Anna Andreadi,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Not,141.96,2,0,41.17
CA-2015-102281,10/12/2015,10/12/2015,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,Chuck Magee,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Not,899.14,4,0.2,112.39
US-2015-103471,24/12/2015,28/12/2015,Standard Class,JR-15670,Jim Radford,Consumer,United States,Colorado Springs,Colorado,80906,West,Anna Andreadi,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Not,590.06,7,0.7,-786.74
CA-2014-150245,31/12/2014,01/04/2015,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Watertown,New York,13601,East,Chuck Magee,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Not,1573.49,7,0.2,196.69
CA-2017-142342,17/07/2017,19/07/2017,Second Class,AJ-10795,Anthony Johnson,Corporate,United States,Apple Valley,California,92307,West,Anna Andreadi,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Yes,1194.17,5,0.15,210.74
CA-2015-113152,25/12/2015,30/12/2015,Standard Class,JK-15625,Jim Karlsson,Consumer,United States,New York City,New York,10024,East,Chuck Magee,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Not,449.57,2,0.2,56.2
CA-2016-148747,25/09/2016,27/09/2016,First Class,AS-10045,Aaron Smayling,Corporate,United States,San Francisco,California,94110,West,Anna Andreadi,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Not,477.67,2,0.15,84.29
CA-2017-154907,31/03/2017,04/04/2017,Standard Class,DS-13180,David Smith,Corporate,United States,Amarillo,Texas,79109,Central,Kelly Williams,FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,Not,205.33,2,0.32,-36.24
